"Date","Price","Open","High","Low","Vol.","Change %"
"12/24/2015","366.28","366.05","366.60","365.46","87.86M","-0.03%"
"12/23/2015","366.39","359.32","366.86","359.32","191.66M","2.67%"
"12/22/2015","356.87","358.12","359.94","355.41","165.83M","-0.08%"
"12/21/2015","357.15","360.28","364.14","357.15","209.55M","-1.13%"
"12/18/2015","361.23","363.69","364.75","360.21","406.22M","-1.01%"
"12/17/2015","364.90","363.44","368.63","363.44","298.73M","1.24%"
"12/16/2015","360.43","359.70","363.05","358.55","275.08M","0.24%"
"12/15/2015","359.58","350.51","360.20","350.51","316.32M","2.87%"
"12/14/2015","349.54","356.80","359.39","349.46","300.08M","-1.76%"
"12/11/2015","355.79","362.44","362.48","354.78","260.70M","-2.04%"
"12/10/2015","363.21","363.12","365.01","360.90","254.50M","-0.27%"
"12/09/2015","364.19","365.89","367.36","362.41","265.24M","-0.43%"
"12/08/2015","365.75","372.08","372.08","364.29","249.61M","-1.81%"
"12/07/2015","372.48","371.78","376.48","371.78","192.61M","0.51%"
"12/04/2015","370.59","372.03","372.03","367.52","257.86M","-0.41%"
"12/03/2015","372.11","383.69","387.43","372.11","342.27M","-3.14%"
"12/02/2015","384.17","384.55","386.71","383.98","210.68M","-0.02%"
"12/01/2015","384.24","386.36","387.29","382.91","245.02M","-0.31%"
"11/30/2015","385.43","383.45","386.32","381.64","299.22M","0.46%"
"11/27/2015","383.67","383.50","384.89","381.59","184.52M","-0.18%"
"11/26/2015","384.37","380.96","384.46","380.75","185.72M","0.93%"
"11/25/2015","380.84","375.59","381.86","375.35","266.07M","1.38%"
"11/24/2015","375.64","379.58","379.58","372.61","272.13M","-1.24%"
"11/23/2015","380.37","381.36","381.37","378.45","226.22M","-0.37%"
"11/20/2015","381.79","381.95","383.17","379.92","266.21M","0.22%"
"11/19/2015","380.96","380.64","383.74","380.34","259.45M","0.43%"
"11/18/2015","379.33","379.24","379.66","376.99","231.90M","-0.14%"
"11/17/2015","379.88","372.90","379.88","372.90","269.73M","2.49%"
"11/16/2015","370.64","368.03","371.47","366.48","211.75M","0.30%"
"11/13/2015","369.53","371.86","372.15","367.26","244.89M","-0.81%"
"11/12/2015","372.56","378.31","379.78","371.83","268.85M","-1.62%"
"11/11/2015","378.71","376.24","380.58","376.24","244.36M","0.65%"
"11/10/2015","376.27","376.44","377.42","373.38","279.00M","0.10%"
"11/09/2015","375.88","379.88","380.51","375.67","240.48M","-1.07%"
"11/06/2015","379.95","378.01","382.01","376.16","297.98M","0.31%"
"11/05/2015","378.76","380.66","381.61","378.12","262.15M","-0.40%"
"11/04/2015","380.28","379.38","382.55","379.38","309.20M","0.51%"
"11/03/2015","378.36","377.03","378.36","375.62","262.87M","0.43%"
"11/02/2015","376.75","374.29","377.71","372.89","224.85M","0.34%"
"10/30/2015","375.47","376.03","376.96","373.11","278.99M","-0.06%"
"10/29/2015","375.70","377.16","377.31","373.67","322.44M","-0.03%"
"10/28/2015","375.83","371.93","376.22","371.56","254.37M","1.06%"
"10/27/2015","371.88","375.33","375.33","371.88","227.90M","-1.07%"
"10/26/2015","375.89","376.85","377.91","375.02","206.07M","-0.39%"
"10/23/2015","377.36","371.87","378.57","371.87","319.17M","1.99%"
"10/22/2015","369.99","362.14","370.53","361.36","303.77M","2.03%"
"10/21/2015","362.64","362.55","364.11","359.95","224.37M","-0.01%"
"10/20/2015","362.67","364.27","364.92","361.04","207.96M","-0.43%"
"10/19/2015","364.25","363.05","366.08","362.77","181.86M","0.31%"
"10/16/2015","363.13","361.81","364.67","361.81","252.23M","0.59%"
"10/15/2015","360.99","356.85","361.49","356.85","239.77M","1.46%"
"10/14/2015","355.81","357.79","358.74","354.50","236.67M","-0.74%"
"10/13/2015","358.47","361.64","361.64","355.99","269.25M","-0.92%"
"10/12/2015","361.79","363.02","364.04","360.77","215.76M","-0.28%"
"10/09/2015","362.82","363.66","365.31","362.37","289.18M","0.33%"
"10/08/2015","361.61","360.28","362.11","358.89","273.68M","0.19%"
"10/07/2015","360.93","361.79","364.83","360.05","350.00M","0.14%"
"10/06/2015","360.41","358.56","362.11","355.93","314.02M","0.58%"
"10/05/2015","358.33","350.83","358.76","350.83","314.89M","3.01%"
"10/02/2015","347.86","347.39","352.23","343.21","344.28M","0.47%"
"10/01/2015","346.23","349.73","353.07","345.23","315.29M","-0.44%"
"09/30/2015","347.77","341.15","348.17","341.15","324.72M","2.52%"
"09/29/2015","339.23","338.52","342.11","335.44","336.40M","-0.69%"
"09/28/2015","341.57","348.85","349.25","341.57","275.68M","-2.21%"
"09/25/2015","349.28","343.61","350.92","343.61","266.44M","2.84%"
"09/24/2015","339.63","346.51","348.11","338.21","323.24M","-2.12%"
"09/23/2015","346.97","346.63","350.65","344.82","256.90M","0.09%"
"09/22/2015","346.67","357.64","357.84","346.67","306.31M","-3.12%"
"09/21/2015","357.83","354.95","359.53","354.00","228.57M","0.86%"
"09/18/2015","354.77","359.56","359.56","352.67","477.52M","-1.78%"
"09/17/2015","361.21","362.07","362.58","360.40","253.70M","-0.18%"
"09/16/2015","361.87","358.05","362.05","358.05","261.44M","1.53%"
"09/15/2015","356.43","354.19","357.55","351.70","259.04M","0.79%"
"09/14/2015","353.63","355.83","358.93","352.87","228.03M","-0.59%"
"09/11/2015","355.72","359.35","359.58","355.18","234.09M","-1.01%"
"09/10/2015","359.34","361.13","363.38","358.05","286.97M","-1.22%"
"09/09/2015","363.77","363.39","368.29","363.39","273.87M","1.33%"
"09/08/2015","359.00","356.25","362.79","356.25","232.08M","1.18%"
"09/07/2015","354.81","354.80","357.36","353.78","164.88M","0.48%"
"09/04/2015","353.11","360.10","360.10","352.37","294.23M","-2.52%"
"09/03/2015","362.24","355.87","363.97","355.87","274.53M","2.37%"
"09/02/2015","353.86","352.86","357.00","350.78","249.16M","0.27%"
"09/01/2015","352.89","359.96","359.96","350.69","295.48M","-2.73%"
"08/31/2015","362.79","362.71","363.59","360.79","230.01M","-0.13%"
"08/28/2015","363.28","362.43","363.28","358.69","239.62M","0.28%"
"08/27/2015","362.27","354.96","363.46","354.96","323.81M","3.46%"
